Unique ID;名字;球员类型;俱乐部;联赛;年龄;原价格池;新选秀池;是否保留;筛选分;最佳位置;第二位置;其他位置;基础价格参考;八维均值
92020288;Heung-Min Son;现役;LAFC;美职联;32;强援池;球星池;是;1060.99;中锋、左边锋;左边前卫;;50.0;60.0
28067800;Jack Grealish;现役;Everton;英超;29;强援池;球星池;是;1060.60;前腰、左边锋;右边前卫、右边锋;左边前卫;42.6;62.9
85085378;Aymeric Laporte;现役;Athletic Bilbao;西甲;30;强援池;球星池;是;1060.46;中后卫;;;44.6;66.4
37045879;Sofyan Amrabat;现役;Real Betis;西甲;28;强援池;球星池;是;1060.35;后腰;中前卫;;45.3;67.1
45095490;Takehiro Tomiyasu;现役;Ajax;荷甲;26;强援池;球星池;是;1060.12;中后卫、右后卫;左后卫、左翼卫、右翼卫;;40.3;65.1
14024702;Leandro Paredes;现役;Boca;阿甲;30;强援池;球星池;是;1059.98;中前卫;;后腰;49.2;65.6
13200568;Mohammed Kudus;现役;Tottenham Hotspur;英超;24;强援池;球星池;是;1059.86;左边锋;中锋;前腰、右边锋;42.4;62.2
48043873;Randal Kolo Muani;现役;Tottenham Hotspur;英超;26;强援池;球星池;是;1059.86;左边锋;右边锋;中锋;42.2;63.8
78090138;Darwin Núñez;现役;Al-Hilal;沙特联;25;强援池;球星池;是;1059.65;中锋;左边锋;;49.8;65.5
859612;Georginio Wijnaldum;现役;Al-Ettifaq;沙特联;34;强援池;球星池;是;1059.08;前腰;后腰、中锋;中前卫;47.1;64.5
24004434;Andrej Kramarić;现役;TSG Hoffenheim;德甲;33;强援池;球星池;是;1059.07;前腰;中前卫、左边锋、右边锋;中锋;42.3;62.7
85104424;Kingsley Coman;现役;Al-Nassr;沙特联;28;强援池;球星池;是;1058.88;左边锋、右边锋;左边前卫、右边前卫;;49.5;61.5
