Unique ID;球员类型;名字;俱乐部;年龄;最佳位置;第二位置;其他可用位置;定价位置（只读）;原全部位置（参考）;评分_射门;评分_传球;评分_控球;评分_防守;评分_速度;评分_身体;评分_意识;评分_意志;修改说明
85140178;现役;Ousmane Dembélé;Paris Saint-Germain;27;中锋、左边锋、右边锋;;;中锋;前腰 (右左), 前锋 (中);72.5;76.2;87.7;45.0;84.8;59.5;64.8;69.5;多最佳位置复核：中锋、左边锋、右边锋
91193048;现役;Florian Wirtz;Liverpool;21;前腰、左边锋;中前卫、右边锋;;前腰;中场 (中), 前腰 (右左中);72.2;87.2;86.8;50.8;74.2;61.3;73.8;75.2;多最佳位置复核：前腰、左边锋
85139014;现役;Kylian Mbappé;Real Madrid;26;左边锋、中锋;右边锋;;左边锋;前腰 (右左), 前锋 (中);85.5;79.2;87.2;34.5;93.3;65.2;74.0;68.0;多最佳位置复核：左边锋、中锋
67228634;现役;Achraf Hakimi;Paris Saint-Germain;26;右后卫、右翼卫、右边前卫;;;右翼卫;后卫/翼卫/中场 (右);68.3;70.8;73.0;64.8;88.5;72.0;65.2;73.8;多最佳位置复核：右后卫、右翼卫、右边前卫
59130638;现役;Khvicha Kvaratskhelia;Paris Saint-Germain;23;前腰;;左边锋;前腰;前腰 (左中);74.0;80.2;89.2;44.5;75.0;59.0;62.7;63.8;
83174762;现役;Vitinha;Paris Saint-Germain;24;中前卫;;后腰;中前卫;后腰, 中场 (中);70.2;82.2;84.0;74.5;70.0;69.2;79.2;77.5;
29232937;现役;Jude Bellingham;Real Madrid;21;中前卫、前腰;左边前卫;;中前卫;中场 (左中), 前腰 (中);80.0;79.8;83.8;68.2;73.2;73.5;73.3;85.2;多最佳位置复核：中前卫、前腰
29221846;现役;Michael Olise;Bayern Munich;23;右边锋、右边前卫;中前卫;前腰;右边锋;中场/前腰 (右中);81.0;88.8;88.0;50.0;73.2;66.5;76.5;62.0;多最佳位置复核：右边锋、右边前卫
29179241;现役;Erling Haaland;Manchester City;24;中锋;;;中锋;前锋 (中);84.8;67.2;71.8;45.8;87.5;83.2;74.0;77.5;
28106491;现役;Declan Rice;Arsenal;26;中前卫;;后腰;中前卫;后腰, 中场 (中);67.5;75.8;71.0;80.8;67.0;77.8;81.2;84.5;
53095137;现役;Martin Ødegaard;Arsenal;26;前腰;;中前卫;前腰;中场/前腰 (中);76.2;90.8;87.2;55.2;67.5;62.2;80.2;74.0;
49039004;现役;William Saliba;Arsenal;23;中后卫;;;中后卫;后卫 (中);55.8;67.8;69.5;83.2;73.2;80.8;79.5;75.2;
2000256231;现役;Lamine Yamal;Barcelona;17;右边锋;;右边前卫;右边锋;中场/前腰 (右);70.2;88.2;93.8;39.5;77.2;61.5;72.8;66.5;
83261910;现役;Nuno Mendes;Paris Saint-Germain;22;左翼卫;;左后卫;左翼卫;后卫/翼卫 (左);57.8;69.0;72.0;65.0;87.0;67.2;66.0;64.2;
14183207;现役;Julián Álvarez;Atlético Madrid;24;中锋、前腰;左边锋、右边锋;;中锋;前腰 (右左中), 前锋 (中);79.2;74.2;76.0;49.5;75.0;64.8;71.3;73.2;多最佳位置复核：中锋、前腰
2000049413;现役;Gavi;Barcelona;20;后腰;;中前卫、前腰;后腰;后腰, 中场/前腰 (中);62.0;73.5;72.0;67.8;64.2;68.8;69.2;87.2;
37071197;现役;Ryan Gravenberch;Liverpool;22;前腰;;后腰、中前卫;前腰;后腰, 中场/前腰 (中);58.2;73.0;77.8;66.8;74.2;68.5;73.8;68.5;
28124573;现役;Levi Colwill;Chelsea;21;中后卫;左后卫;;中后卫;后卫 (左中);38.2;70.5;62.0;72.5;73.0;73.0;69.8;64.2;
28120042;现役;Cole Palmer;Chelsea;22;前腰、右边锋;左边锋;;前腰;前腰 (右左中);81.5;82.2;87.0;43.0;76.5;63.8;75.2;51.2;
67288555;现役;Xavi Simons;Tottenham Hotspur;21;前腰、左边锋、右边锋;;中前卫;前腰;中场 (中), 前腰 (右左中);64.8;75.5;80.5;48.0;73.2;61.2;63.5;67.7;多最佳位置复核：前腰、左边锋、右边锋
28126241;现役;Oscar Bobb;Fulham;21;左边锋;右边前卫;中前卫、前腰、右边锋;左边锋;中场 (右中), 前腰 (右左中);59.3;64.8;71.0;45.5;71.8;54.0;65.5;62.0;
2000053516;现役;Adam Wharton;Crystal Palace;20;中前卫;;后腰;中前卫;后腰, 中场 (中);51.2;77.5;70.0;61.5;62.8;62.5;71.2;66.2;
2000031901;现役;Kevin;Fulham;22;左边锋;右边锋;;左边锋;前腰 (右左);66.5;66.2;79.5;39.2;78.0;57.7;58.2;57.0;
28127254;现役;Elliot Anderson;Nottingham Forest;22;前腰;左边锋;后腰、中前卫;前腰;后腰, 中场 (中), 前腰 (左中);61.2;65.8;70.0;61.8;66.0;66.2;65.5;79.8;
67287665;现役;Álex Baena;Atlético Madrid;23;前腰;中前卫、右边锋;左边锋;前腰;中场 (中), 前腰 (右左中);63.5;84.2;75.2;48.2;65.5;58.5;66.8;61.3;
2000211997;现役;Álex Jiménez;Bournemouth;19;右边锋;右边前卫;左后卫、左翼卫、右后卫、右翼卫;右边锋;后卫/翼卫 (右左), 中场/前腰 (右);54.2;58.5;65.0;55.5;75.8;59.5;54.5;68.2;
43295814;现役;Dejan Kulusevski;Tottenham Hotspur;24;前腰、右边锋;中前卫;右边前卫;前腰;中场/前腰 (右中);67.8;74.5;79.8;37.0;70.2;75.5;64.2;68.2;多最佳位置复核：前腰、右边锋
28121372;现役;Ian Maatsen;Aston Villa;22;左翼卫;;左后卫;左翼卫;后卫/翼卫 (左);63.5;69.0;70.0;63.2;78.5;60.0;66.0;66.0;
71110357;现役;Yehor Yarmoliuk;Brentford;20;后腰;前腰;中前卫;后腰;后腰, 中场/前腰 (中);51.2;64.8;64.5;66.3;66.5;67.8;67.8;74.0;
67217524;现役;Rodri;Manchester City;28;后腰、中前卫;中后卫;;后腰;后卫 (中), 后腰;72.2;77.0;66.0;79.5;68.8;78.3;85.5;73.8;多最佳位置复核：后腰、中前卫
43424738;现役;Riccardo Calafiori;Arsenal;22;中后卫;;左后卫;中后卫;后卫 (左中);58.5;71.2;68.8;73.8;70.0;71.2;74.5;70.2;
92039023;现役;Joshua Kimmich;Bayern Munich;29;后腰;右翼卫;右后卫、中前卫;后腰;后卫/翼卫 (右), 后腰, 中场 (中);67.0;86.0;69.8;66.8;65.2;73.5;79.0;88.2;
2000166563;现役;Carlos Baleba;Brighton;21;后腰;;中前卫;后腰;后腰, 中场 (中);56.0;69.0;69.2;69.0;72.2;71.5;68.8;61.5;
86075795;现役;Willian Pacho;Paris Saint-Germain;23;中后卫;左后卫;;中后卫;后卫 (左中);43.5;65.8;59.8;78.8;71.7;80.5;73.5;75.5;
43298481;现役;Sandro Tonali;Newcastle;24;后腰;;中前卫;后腰;后腰, 中场 (中);59.2;75.5;72.5;73.8;67.0;70.0;75.0;83.0;
2000035036;现役;Alejandro Garnacho;Chelsea;20;左边锋;右边锋;;左边锋;前腰 (右左);64.2;56.8;74.5;32.5;83.0;61.5;49.0;60.2;
19302146;现役;Vinícius Júnior;Real Madrid;24;左边锋;中锋;;左边锋;前腰 (左), 前锋 (中);72.5;70.0;84.2;37.5;90.2;69.5;60.8;70.2;
49056243;现役;Eduardo Camavinga;Real Madrid;22;后腰、中前卫;左后卫;;左后卫;后卫 (左), 后腰, 中场 (中);59.3;71.0;70.5;73.5;82.2;78.0;67.5;76.8;多最佳位置复核：后腰、中前卫
28108494;现役;Phil Foden;Manchester City;24;前腰、左边锋、右边锋;;中前卫;前腰;中场 (中), 前腰 (右左中);71.5;82.5;84.0;50.8;79.5;58.8;72.5;65.8;多最佳位置复核：前腰、左边锋、右边锋
78074594;现役;Federico Valverde;Real Madrid;26;中前卫、右边前卫;后腰、右边锋;;中前卫;后腰, 中场 (右中), 前腰 (右);70.5;69.5;67.8;70.5;84.5;77.0;67.8;83.8;多最佳位置复核：中前卫、右边前卫
2000198043;现役;Tyler Dibling;Everton;18;右边锋;前腰;;右边锋;前腰 (右中);57.7;70.0;77.8;41.8;71.2;62.3;60.0;50.7;
2000011147;现役;Miloš Kerkez;Liverpool;21;左后卫;左边前卫;左翼卫;左后卫;后卫/翼卫/中场 (左);53.5;65.8;68.0;70.3;77.2;69.5;66.8;76.3;
49062667;现役;Hugo Ekitiké;Liverpool;22;左边锋;;中锋;左边锋;前腰 (左), 前锋 (中);69.8;74.0;78.5;41.5;78.5;66.7;64.2;64.0;
18106083;现役;Jérémy Doku;Manchester City;22;左边锋、右边锋;;中锋;左边锋;前腰 (右左), 前锋 (中);57.8;69.5;78.5;41.0;83.8;64.0;65.2;62.8;多最佳位置复核：左边锋、右边锋
93070286;现役;Alexander Isak;Liverpool;25;左边锋;;中锋;左边锋;前腰 (左), 前锋 (中);79.0;71.0;83.0;38.0;81.7;67.8;67.0;65.2;
2000047221;现役;Omari Hutchinson;Nottingham Forest;21;左边锋;中前卫、右边锋;前腰;左边锋;中场 (中), 前腰 (右左中);63.8;66.5;79.5;50.0;70.8;54.0;60.8;63.2;
28108035;现役;Reece James;Chelsea;25;右后卫、右翼卫;中后卫、后腰;;中后卫;后卫 (右中), 翼卫 (右), 后腰;61.5;65.5;66.0;72.8;71.2;79.8;72.5;81.5;多最佳位置复核：右后卫、右翼卫
12091814;现役;Dango Ouattara;Brentford;22;左边锋;中锋;右边锋;左边锋;前腰 (右左), 前锋 (中);62.5;64.2;68.5;48.2;74.0;58.2;59.5;59.7;
28115996;现役;Morgan Rogers;Aston Villa;22;左边锋;右边锋、中锋;前腰;左边锋;前腰 (右左中), 前锋 (中);67.8;67.2;79.2;48.2;76.2;67.0;59.2;62.7;
2000124287;现役;Jack Hinshelwood;Brighton;19;后腰;右后卫、右翼卫;中前卫;后腰;后卫/翼卫 (右), 后腰, 中场 (中);54.8;65.0;55.5;65.2;66.8;63.2;66.8;68.2;
28108033;现役;Marc Guéhi;Manchester City;24;中后卫;;;中后卫;后卫 (中);48.8;70.0;71.5;75.5;72.8;73.2;72.0;75.2;
2000164850;现役;Ben Gannon Doak;Bournemouth;19;左边锋;;右边锋;左边锋;前腰 (右左);54.0;65.8;75.5;37.0;72.0;53.0;55.5;68.5;
2000045005;现役;Noah Sadiki;Sunderland;20;后腰;;中前卫;后腰;后腰, 中场 (中);53.5;62.7;65.5;71.5;68.2;66.5;62.0;72.5;
95079228;现役;Alex Scott;Bournemouth;21;前腰;右边锋;后腰、中前卫;前腰;后腰, 中场 (中), 前腰 (右中);59.5;74.5;78.3;59.5;69.8;58.2;71.5;70.8;
83320124;现役;Mateus Fernandes;West Ham;20;前腰;;中前卫;前腰;中场/前腰 (中);57.0;73.0;73.0;62.3;61.5;62.2;69.5;72.0;
2000169739;现役;Lucas Bergvall;Tottenham Hotspur;18;前腰;后腰;中前卫;前腰;后腰, 中场/前腰 (中);55.2;70.5;75.2;49.8;71.2;66.8;60.0;70.2;
2000283274;现役;Myles Lewis-Skelly;Arsenal;18;左后卫;后腰、中前卫;;左后卫;后卫 (左), 后腰, 中场 (中);53.3;68.5;75.5;57.3;75.0;72.3;61.0;66.5;
49048380;现役;Georginio Rutter;Brighton;22;前腰;右边锋、中锋;;前腰;前腰 (右中), 前锋 (中);61.2;69.0;70.8;42.0;68.2;66.0;63.5;63.0;
2000123586;现役;Kobbie Mainoo;Manchester United;19;前腰;后腰;中前卫;前腰;后腰, 中场/前腰 (中);64.0;69.5;74.5;57.5;67.5;67.8;67.8;64.0;
43426047;现役;Destiny Udogie;Tottenham Hotspur;22;左翼卫;;左后卫;左翼卫;后卫/翼卫 (左);58.2;64.5;64.2;62.8;79.0;70.2;64.2;65.5;
24060473;现役;Joško Gvardiol;Manchester City;22;中后卫、左后卫;左翼卫;;中后卫;后卫 (左中), 翼卫 (左);58.7;74.2;67.8;71.2;72.2;75.8;72.5;79.0;多最佳位置复核：中后卫、左后卫
2000182819;现役;Leny Yoro;Manchester United;19;中后卫;;;中后卫;后卫 (中);44.0;62.3;64.0;66.5;75.8;66.8;66.3;66.2;
37076141;现役;Youri Baas;Ajax;21;中后卫;左翼卫;左后卫;中后卫;后卫 (左中), 翼卫 (左);44.8;65.2;54.8;68.8;63.8;65.2;65.0;69.2;
