Unique ID;球员类型;名字;国家或地区;俱乐部;联赛;联赛键;联赛可信度;年龄;身高(cm);左脚;右脚;主力脚;最佳位置;第二位置;其他可用位置;定价位置;最佳位置倍率;第二位置倍率;其他位置倍率;最佳位置能力;第二位置能力;其他位置能力;FM身价原文;FM身价下限(百万英镑);FM身价上限(百万英镑);FM身价中位(百万英镑);评分_射门;评分_传球;评分_控球;评分_防守;评分_速度;评分_身体;评分_意识;评分_意志;FM_技术;FM_抢断;FM_罚点球;FM_传球;FM_盯人;FM_界外球;FM_远射;FM_头球;FM_任意球;FM_停球;FM_射门;FM_盘带;FM_传中;FM_角球;FM_强壮;FM_耐力;FM_速度;FM_体质;FM_弹跳;FM_平衡;FM_灵活;FM_爆发力;FM_预判;FM_才华;FM_领导力;FM_无球跑动;FM_工作投入;FM_视野;FM_团队合作;FM_选位;FM_意志力;FM_决断;FM_集中;FM_镇定;FM_勇敢;FM_侵略性;模型价格(百万欧元);位置稀缺系数;巨星系数;FM身价修正;基础价格(百万欧元);本局价格下限(百万欧元);本局价格上限(百万欧元);价格池;缺失FM属性数;校验状态;原最佳位置;原第二位置;原全部位置
23413408;传奇;Ferenc Puskás;匈牙利;Real Madrid;西甲;西甲;manual;23;172;精准;还行;左脚;中锋;;;中锋;1.0;0.95;0.9;80.5;;;£2.22亿 - £2.66亿;222.0;266.0;244.0;81.7;82.5;81.5;61.8;85.5;80.5;75.8;71.5;19;11;19;15;12;15;18;14;14;18;16;12;15;12;19;15;17;19;11;17;20;17;13;15;18;16;12;17;11;12;18;16;17;17;13;6;132.9;1.08;1.03;1.05;155.2;124.2;186.2;传奇池;0;PASS;前锋 (中);;前锋 (中)
23244492;传奇;Lionel Messi;阿根廷;Barcelona;西甲;西甲;manual;24;169;精准;不错;左脚;右边锋、前腰;;左边锋;右边锋;1.0;0.95;0.9;83.3;;75.0;£2.21亿 - £2.65亿;221.0;265.0;243.0;86.2;89.0;96.0;43.8;85.0;58.5;77.8;73.0;20;7;18;17;6;5;16;9;14;17;19;20;14;11;8;15;16;15;5;16;20;18;17;20;19;16;12;19;11;6;19;17;16;16;13;7;162.4;1.05;1.03;1.05;184.4;147.5;221.3;传奇池;0;PASS;前腰 (右);;前腰 (右左中)
23168714;传奇;Fernando Torres;西班牙;Atlético Madrid;西甲;西甲;manual;20;186;不错;精准;右脚;中锋;;;中锋;1.0;0.95;0.9;76.4;;;£2.14亿 - £2.56亿;214.0;256.0;235.0;78.8;80.8;86.5;45.7;79.5;61.2;70.8;78.5;18;9;16;16;4;5;13;15;6;16;17;18;9;7;12;13;16;11;14;8;18;16;11;20;12;20;18;16;12;10;18;18;15;13;17;11;96.5;1.08;1.0;1.05;109.4;87.5;131.3;传奇池;0;PASS;前锋 (中);;前锋 (中)
23244590;传奇;Cristiano Ronaldo;葡萄牙;Real Madrid;西甲;西甲;manual;25;184;不错;精准;右脚;右边锋、左边锋;;;右边锋;1.0;0.95;0.9;82.2;;;£2.09亿 - £2.5亿;209.0;250.0;229.5;84.2;77.2;91.5;48.0;88.2;81.0;76.0;59.2;18;6;20;15;3;7;17;16;17;18;17;19;13;11;15;19;19;17;14;18;16;16;17;20;11;17;7;15;6;17;19;13;13;14;13;9;150.3;1.05;1.03;1.05;170.7;136.6;204.8;传奇池;0;PASS;前腰 (右);;前腰 (右左)
2000233530;传奇;Thierry Henry;法国;Arsenal;英超;英超;manual;27;188;不错;精准;右脚;中锋、左边锋;;;中锋;1.0;0.95;0.9;81.3;;;£2.07亿 - £2.48亿;207.0;248.0;227.5;83.3;80.5;90.5;36.8;91.3;77.5;69.0;71.7;18;8;16;15;2;3;15;10;15;18;17;18;14;14;16;16;19;18;12;18;18;18;17;19;12;19;13;17;17;4;17;14;14;14;11;14;140.9;1.08;1.03;1.05;164.6;131.7;197.5;传奇池;0;PASS;前锋 (中);;前锋 (中)
23168716;传奇;Ronaldo;巴西;Real Madrid;西甲;西甲;manual;28;180;强势;精准;左脚;中锋;;;中锋;1.0;0.95;0.9;80.3;;;£1.99亿 - £2.43亿;199.0;243.0;221.0;92.7;83.5;90.0;34.8;79.2;64.8;73.8;54.0;20;6;19;16;4;13;16;10;15;17;20;18;12;13;16;14;15;7;12;16;14;18;17;20;16;20;9;16;9;4;13;18;12;17;9;5;130.9;1.08;1.03;1.05;152.9;122.3;183.5;传奇池;0;PASS;前锋 (中);;前锋 (中)
23244612;传奇;Samuel Eto'o;喀麦隆;Barcelona;西甲;西甲;manual;25;180;强势;精准;左脚;中锋;;;中锋;1.0;0.95;0.9;78.0;;;£1.84亿 - £2.21亿;184.0;221.0;202.5;82.5;66.7;78.2;42.8;88.2;77.2;64.8;81.8;15;7;15;14;4;6;15;12;10;15;17;16;12;10;15;17;18;17;13;14;19;17;16;15;15;18;15;12;15;8;20;11;14;16;17;13;109.7;1.08;1.0;1.05;124.4;99.5;149.3;传奇池;0;PASS;前锋 (中);;前锋 (中)
2000307385;传奇;Zinédine Zidane;法国;Real Madrid;西甲;西甲;manual;26;185;不错;精准;右脚;中前卫、前腰;;;前腰;1.0;0.95;0.9;81.8;;;£1.8亿 - £1.97亿;180.0;197.0;188.5;68.0;97.2;95.2;48.2;79.0;59.0;81.0;51.0;20;7;16;20;8;4;16;15;20;20;10;20;15;14;15;14;14;15;9;5;18;18;17;20;15;14;9;20;13;8;4;17;18;16;9;16;146.1;1.04;1.03;1.05;164.3;131.4;197.2;传奇池;0;PASS;中场/前腰 (中);;中场/前腰 (中)
23244570;传奇;Neymar;巴西;Barcelona;西甲;西甲;manual;21;174;精准;精准;双足;左边锋、前腰;中锋;;左边锋;1.0;0.95;0.9;75.8;72.0;;£1.79亿 - £2.14亿;179.0;214.0;196.5;75.8;76.7;92.5;31.0;83.5;55.5;63.5;58.5;19;4;15;14;4;3;12;9;14;17;16;20;15;15;9;13;16;16;6;13;19;18;15;18;12;18;11;15;11;4;14;14;12;13;10;9;91.8;1.05;1.0;1.05;101.2;81.0;121.4;传奇池;0;PASS;未知;前腰 (中), 前锋 (中);前腰 (左中), 前锋 (中)
23461569;传奇;Xabi Alonso;西班牙;Liverpool;英超;英超;manual;23;183;还行;精准;右脚;后腰、中前卫;;;后腰;1.0;0.95;0.9;78.4;;;£1.69亿 - £1.9亿;169.0;190.0;179.5;66.3;89.0;69.2;78.2;74.2;72.5;82.2;81.0;16;15;6;19;14;8;15;10;16;16;11;12;13;14;14;17;15;15;14;9;15;14;18;11;14;14;14;20;15;17;19;15;15;15;19;13;113.2;1.03;1.0;1.05;122.5;98.0;147.0;传奇池;0;PASS;后腰, 中场 (中);;后腰, 中场 (中)
