Unique ID;球员类型;名字;国家或地区;俱乐部;联赛;联赛键;联赛可信度;年龄;身高(cm);左脚;右脚;主力脚;最佳位置;第二位置;其他可用位置;定价位置;最佳位置倍率;第二位置倍率;其他位置倍率;最佳位置能力;第二位置能力;其他位置能力;FM身价原文;FM身价下限(百万英镑);FM身价上限(百万英镑);FM身价中位(百万英镑);评分_扑救;评分_一对一;评分_制空;评分_指挥;评分_出击;评分_出球;评分_身体;评分_精神;FM_罚点球;FM_传球;FM_制空范围;FM_拦截传中;FM_指挥防守;FM_意外性;FM_手控球;FM_停球;FM_大脚开球;FM_一对一;FM_击球;FM_反应;FM_强壮;FM_出击(倾向);FM_速度;FM_体质;FM_弹跳;FM_平衡;FM_灵活;FM_爆发力;FM_预判;FM_领导力;FM_手抛球;FM_工作投入;FM_视野;FM_团队合作;FM_选位;FM_意志力;FM_决断;FM_集中;FM_镇定;FM_勇敢;FM_侵略性;模型价格(百万欧元);位置稀缺系数;巨星系数;FM身价修正;基础价格(百万欧元);本局价格下限(百万欧元);本局价格上限(百万欧元);价格池;缺失FM属性数;校验状态;原最佳位置;原第二位置;原全部位置
23244589;传奇;Petr Čech;捷克;Chelsea;英超;英超;manual;22;196;精准;欠佳;左脚;门将;;;门将;1.0;0.95;0.9;79.7;;;£1.63亿 - £1.89亿;163.0;189.0;176.0;88.0;85.8;86.0;72.0;66.2;62.5;79.8;78.5;3;11;19;16;15;2;18;12;12;20;6;18;17;13;10;17;19;15;17;10;16;10;15;15;8;13;17;12;17;18;16;10;4;125.1;0.92;1.0;1.05;120.9;96.7;145.1;传奇池;0;PASS;门将;;门将
2000309124;传奇;Iker Casillas;西班牙;Real Madrid;西甲;西甲;manual;24;185;精准;欠佳;左脚;门将;;;门将;1.0;0.95;0.9;77.8;;;£9200万 - £1.47亿;92.0;147.0;119.5;89.0;91.5;58.5;67.5;82.8;70.0;76.8;71.5;3;9;10;12;14;5;19;10;18;19;9;19;14;19;14;16;16;13;18;15;16;8;17;13;12;16;18;18;16;12;8;15;7;108.0;0.92;1.0;1.029;102.3;81.8;122.8;传奇池;0;PASS;门将;;门将
2000307304;传奇;Gianluigi Buffon;意大利;Juventus;意甲;意甲;manual;26;192;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;80.1;;;£8900万 - £1.42亿;89.0;142.0;115.5;87.0;85.0;79.2;75.2;71.2;70.5;75.5;82.2;5;16;17;18;17;17;18;8;16;18;10;18;13;14;12;17;16;15;17;13;16;15;17;13;7;8;17;18;16;16;17;16;10;129.0;0.92;1.03;1.005;122.8;98.2;147.4;传奇池;0;PASS;门将;;门将
23244473;传奇;Peter Schmeichel;丹麦;Manchester United;英超;英超;manual;28;193;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;75.8;;;£8600万 - £1.05亿;86.0;105.0;95.5;76.5;85.0;73.0;70.5;68.8;79.2;70.8;75.8;8;16;14;15;14;13;16;14;17;19;15;16;14;14;12;13;18;14;13;14;12;12;16;15;14;14;15;16;17;15;15;16;17;91.8;0.92;1.0;1.022;86.3;69.0;103.6;传奇池;0;PASS;门将;;门将
23497388;传奇;Lev Yashin;匈牙利;Dynamo Moscow;俄超;俄超;manual;28;189;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;77.2;;;£5200万 - £8300万;52.0;83.0;67.5;81.5;83.5;76.8;75.5;69.5;72.2;79.2;70.5;12;13;16;16;17;15;16;13;16;19;14;18;17;14;14;15;17;17;14;16;10;13;15;17;15;13;18;17;14;14;16;11;9;103.0;0.92;1.0;0.977;92.5;74.0;111.0;传奇池;0;PASS;门将;;门将
67030171;传奇;David De Gea;西班牙;Manchester United;英超;英超;manual;23;192;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;66.8;;;£4600万 - £6000万;46.0;60.0;53.0;79.0;67.8;64.0;55.5;59.0;58.8;68.5;64.8;2;7;13;13;11;8;16;11;16;14;16;18;14;5;14;10;12;12;17;17;13;8;12;9;10;11;15;16;13;12;10;14;7;38.5;0.92;1.0;1.05;37.2;29.8;44.6;传奇池;0;PASS;未知;;门将
23497391;传奇;Víctor Valdés;西班牙;Barcelona;西甲;西甲;manual;25;183;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;71.4;;;£4100万 - £5300万;41.0;53.0;47.0;77.2;80.0;66.7;70.0;69.8;56.0;71.3;69.8;4;16;15;14;15;14;14;6;12;17;13;17;12;15;11;12;17;13;18;14;14;14;11;13;6;11;16;12;13;14;15;14;11;61.9;0.92;1.0;0.989;56.3;45.0;67.6;传奇池;0;PASS;未知;;门将
23497381;传奇;Peter Bonetti;英格兰;Chelsea;英超;英超;manual;24;180;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;65.8;;;£2800万 - £3400万;28.0;34.0;31.0;76.5;68.5;55.0;49.2;62.3;70.8;63.8;67.3;5;14;15;10;10;12;15;13;14;13;9;17;10;11;13;14;12;14;14;13;14;5;17;12;13;9;14;14;12;14;13;14;5;34.3;0.92;1.0;1.006;31.8;25.4;38.2;传奇池;0;PASS;未知;;门将
36521998;传奇;Jens Lehmann;德国;Arsenal;英超;英超;manual;30;190;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;75.2;;;£2600万 - £4100万;26.0;41.0;33.5;84.5;81.0;71.0;69.0;72.5;59.8;74.8;74.5;11;10;15;14;15;15;18;10;15;17;14;18;15;14;20;19;16;16;12;9;15;15;13;11;6;7;16;17;15;14;15;13;15;87.2;0.92;1.0;0.95;76.2;61.0;91.4;传奇池;0;PASS;未知;;门将
36521996;传奇;David Seaman;英格兰;Arsenal;英超;英超;manual;24;193;笨拙;精准;右脚;门将;;;门将;1.0;0.95;0.9;69.5;;;£2100万 - £3300万;21.0;33.0;27.0;77.0;82.0;65.3;64.2;58.2;49.5;71.2;74.5;15;12;13;12;13;13;16;9;13;18;12;16;15;12;11;15;14;17;18;2;15;14;5;5;4;8;15;17;15;13;13;19;12;51.3;0.92;1.0;0.962;45.4;36.3;54.5;传奇池;0;PASS;未知;;门将
