Unique ID;球员类型;名字;国家或地区;俱乐部;联赛;联赛键;联赛可信度;年龄;身高(cm);左脚;右脚;主力脚;最佳位置;第二位置;其他可用位置;定价位置;最佳位置倍率;第二位置倍率;其他位置倍率;最佳位置能力;第二位置能力;其他位置能力;FM身价原文;FM身价下限(百万英镑);FM身价上限(百万英镑);FM身价中位(百万英镑);评分_射门;评分_传球;评分_控球;评分_防守;评分_速度;评分_身体;评分_意识;评分_意志;FM_技术;FM_抢断;FM_罚点球;FM_传球;FM_盯人;FM_界外球;FM_远射;FM_头球;FM_任意球;FM_停球;FM_射门;FM_盘带;FM_传中;FM_角球;FM_强壮;FM_耐力;FM_速度;FM_体质;FM_弹跳;FM_平衡;FM_灵活;FM_爆发力;FM_预判;FM_才华;FM_领导力;FM_无球跑动;FM_工作投入;FM_视野;FM_团队合作;FM_选位;FM_意志力;FM_决断;FM_集中;FM_镇定;FM_勇敢;FM_侵略性;模型价格(百万欧元);位置稀缺系数;巨星系数;FM身价修正;基础价格(百万欧元);本局价格下限(百万欧元);本局价格上限(百万欧元);价格池;缺失FM属性数;校验状态;原最佳位置;原第二位置;原全部位置
85140178;现役;Ousmane Dembélé;法国;Paris Saint-Germain;法甲;法甲;manual;27;178;精准;精准;双足;中锋、左边锋、右边锋;;;中锋;1.0;0.95;0.9;73.7;;;£2.74亿 - £3.46亿;274.0;346.0;310.0;72.5;76.2;87.7;45.0;84.8;59.5;64.8;69.5;18;6;14;15;8;5;13;7;10;18;16;18;14;12;10;14;17;15;8;13;16;18;13;18;13;15;15;14;14;10;15;13;13;13;12;13;76.5;1.08;1.0;1.05;86.8;69.4;104.2;球星池;0;PASS;前锋 (中);前腰 (左);前腰 (右左), 前锋 (中)
91193048;现役;Florian Wirtz;德国;Liverpool;英超;英超;manual;21;177;还行;精准;右脚;前腰、左边锋;中前卫、右边锋;;前腰;1.0;0.95;0.9;78.2;74.3;;£2.39亿 - £2.87亿;239.0;287.0;263.0;72.2;87.2;86.8;50.8;74.2;61.3;73.8;75.2;18;10;14;18;8;3;14;7;13;18;13;17;13;14;10;16;15;13;7;15;16;14;16;18;9;16;17;18;16;7;17;15;15;16;13;13;111.5;1.04;1.0;1.05;121.7;97.4;146.0;球星池;0;PASS;前腰 (中);中场 (中), 前腰 (右左);中场 (中), 前腰 (右左中)
85139014;现役;Kylian Mbappé;法国;Real Madrid;西甲;西甲;manual;26;178;不错;精准;右脚;左边锋、中锋;右边锋;;左边锋;1.0;0.95;0.9;81.3;77.2;;£2.36亿 - £2.83亿;236.0;283.0;259.5;85.5;79.2;87.2;34.5;93.3;65.2;74.0;68.0;17;4;18;15;4;3;15;9;11;18;18;18;13;13;12;15;19;15;8;16;16;20;17;18;13;17;13;16;10;4;18;16;16;18;12;6;140.9;1.05;1.03;1.05;160.0;128.0;192.0;球星池;0;PASS;前腰 (左);前腰 (右);前腰 (右左), 前锋 (中)
67228634;现役;Achraf Hakimi;摩洛哥;Paris Saint-Germain;法甲;法甲;manual;26;181;还行;精准;右脚;右后卫、右翼卫、右边前卫;;;右翼卫;1.0;0.95;0.9;73.0;;;£2.05亿 - £2.46亿;205.0;246.0;225.5;68.3;70.8;73.0;64.8;88.5;72.0;65.2;73.8;14;13;10;15;13;11;13;11;13;15;13;15;15;7;12;18;18;19;11;14;15;18;13;14;15;17;17;13;13;13;16;13;13;13;12;16;71.9;1.0;1.0;1.05;75.5;60.4;90.6;球星池;0;PASS;后卫/翼卫 (右);中场 (右);后卫/翼卫/中场 (右)
59130638;现役;Khvicha Kvaratskhelia;格鲁吉亚;Paris Saint-Germain;法甲;法甲;manual;23;183;强势;精准;左脚;前腰;;左边锋;前腰;1.0;0.95;0.9;74.5;;67.0;£1.76亿 - £2.22亿;176.0;222.0;199.0;74.0;80.2;89.2;44.5;75.0;59.0;62.7;63.8;18;10;15;16;8;4;14;11;14;18;15;18;14;8;10;12;15;16;9;13;18;15;12;19;10;17;12;15;11;5;17;15;11;14;12;11;82.1;1.04;1.0;1.05;89.7;71.8;107.6;球星池;0;PASS;未知;前腰 (中);前腰 (左中)
83174762;现役;Vitinha;葡萄牙;Paris Saint-Germain;法甲;法甲;manual;24;172;还行;精准;右脚;中前卫;;后腰;中前卫;1.0;0.95;0.9;77.5;;69.8;£1.73亿 - £2.26亿;173.0;226.0;199.5;70.2;82.2;84.0;74.5;70.0;69.2;79.2;77.5;16;14;17;17;15;8;14;7;13;17;12;17;13;13;11;18;13;16;8;16;18;13;16;17;14;15;17;17;16;15;15;15;16;16;15;14;105.5;1.02;1.0;1.05;113.0;90.4;135.6;球星池;0;PASS;未知;;后腰, 中场 (中)
29232937;现役;Jude Bellingham;英格兰;Real Madrid;西甲;西甲;manual;21;186;不错;精准;右脚;中前卫、前腰;左边前卫;;中前卫;1.0;0.95;0.9;77.3;73.4;;£1.67亿 - £1.9亿;167.0;190.0;178.5;80.0;79.8;83.8;68.2;73.2;73.5;73.3;85.2;17;15;13;17;12;6;14;14;11;17;17;17;12;11;14;16;14;16;12;14;15;15;16;18;17;17;17;15;15;12;20;14;13;16;17;17;103.8;1.02;1.0;1.05;111.2;89.0;133.4;球星池;0;PASS;中场 (中);中场 (左), 前腰 (中);中场 (左中), 前腰 (中)
29221846;现役;Michael Olise;法国;Bayern Munich;德甲;德甲;manual;23;184;精准;还行;左脚;右边锋、右边前卫;中前卫;前腰;右边锋;1.0;0.95;0.9;78.3;74.4;70.5;£1.65亿 - £1.98亿;165.0;198.0;181.5;81.0;88.8;88.0;50.0;73.2;66.5;76.5;62.0;18;9;15;18;8;6;17;8;16;18;15;18;17;16;13;15;14;12;11;16;16;15;17;17;10;17;13;18;13;8;13;16;14;17;12;8;112.4;1.05;1.0;1.05;123.9;99.1;148.7;球星池;0;PASS;前腰 (右);中场 (右中);中场/前腰 (右中)
29179241;现役;Erling Haaland;挪威;Manchester City;英超;英超;manual;24;195;精准;还行;左脚;中锋;;;中锋;1.0;0.95;0.9;79.3;;;£1.64亿 - £1.89亿;164.0;189.0;176.5;84.8;67.2;71.8;45.8;87.5;83.2;74.0;77.5;14;7;17;13;6;5;13;15;13;13;18;14;10;7;17;14;19;19;18;17;16;17;19;16;13;18;13;14;14;7;20;15;15;17;15;15;121.4;1.08;1.0;1.05;137.7;110.2;165.2;球星池;0;PASS;前锋 (中);;前锋 (中)
28106491;现役;Declan Rice;英格兰;Arsenal;英超;英超;manual;26;188;还行;精准;右脚;中前卫;;后腰;中前卫;1.0;0.95;0.9;75.9;;68.3;£1.64亿 - £1.8亿;164.0;180.0;172.0;67.5;75.8;71.0;80.8;67.0;77.8;81.2;84.5;15;17;11;15;15;15;12;14;17;16;11;14;15;20;14;17;13;18;14;15;13;13;18;10;16;16;17;14;19;16;18;18;15;17;16;13;92.5;1.02;1.0;1.05;99.1;79.3;118.9;球星池;0;PASS;中场 (中);;后腰, 中场 (中)
