Unique ID;球员类型;名字;国家或地区;俱乐部;联赛;联赛键;联赛可信度;年龄;身高(cm);左脚;右脚;主力脚;最佳位置;第二位置;其他可用位置;定价位置;最佳位置倍率;第二位置倍率;其他位置倍率;最佳位置能力;第二位置能力;其他位置能力;FM身价原文;FM身价下限(百万英镑);FM身价上限(百万英镑);FM身价中位(百万英镑);评分_扑救;评分_一对一;评分_制空;评分_指挥;评分_出击;评分_出球;评分_身体;评分_精神;FM_罚点球;FM_传球;FM_制空范围;FM_拦截传中;FM_指挥防守;FM_意外性;FM_手控球;FM_停球;FM_大脚开球;FM_一对一;FM_击球;FM_反应;FM_强壮;FM_出击(倾向);FM_速度;FM_体质;FM_弹跳;FM_平衡;FM_灵活;FM_爆发力;FM_预判;FM_领导力;FM_手抛球;FM_工作投入;FM_视野;FM_团队合作;FM_选位;FM_意志力;FM_决断;FM_集中;FM_镇定;FM_勇敢;FM_侵略性;模型价格(百万欧元);位置稀缺系数;巨星系数;FM身价修正;基础价格(百万欧元);本局价格下限(百万欧元);本局价格上限(百万欧元);价格池;缺失FM属性数;校验状态;原最佳位置;原第二位置;原全部位置
67200923;现役;Unai Simón;西班牙;Athletic Bilbao;西甲;西甲;manual;27;190;还行;精准;右脚;门将;;;门将;1.0;0.95;0.9;70.8;;;£1.06亿 - £1.38亿;106.0;138.0;122.0;73.5;73.2;71.8;69.8;68.0;69.0;60.0;69.5;3;12;16;15;15;13;14;14;14;15;9;16;13;13;14;8;15;7;14;14;13;12;15;14;14;14;15;15;14;13;15;13;6;58.4;0.92;1.0;1.05;56.4;45.1;67.7;强援池;0;PASS;未知;;门将
43252073;现役;Gianluigi Donnarumma;意大利;Manchester City;英超;英超;manual;25;196;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;75.4;;;£8900万 - £1.1亿;89.0;110.0;99.5;83.0;80.2;77.2;72.8;62.2;60.8;77.2;76.0;6;12;15;15;14;9;16;9;14;17;15;18;16;11;11;15;18;17;16;10;16;14;13;13;8;15;16;15;15;15;14;16;12;88.7;0.92;1.0;1.031;84.2;67.4;101.0;球星池;0;PASS;门将;;门将
37076355;现役;Bart Verbruggen;荷兰;Brighton;英超;英超;manual;22;193;还行;精准;右脚;门将;;;门将;1.0;0.95;0.9;67.2;;;£7800万 - £1.01亿;78.0;101.0;89.5;67.5;70.2;69.0;66.0;60.5;70.8;65.3;64.5;4;16;14;15;14;6;13;13;16;15;14;15;10;12;12;15;16;12;14;12;11;12;12;12;14;14;13;14;12;13;15;13;7;40.2;0.92;1.0;1.05;38.9;31.1;46.7;主力池;0;PASS;未知;;门将
28054565;现役;Jordan Pickford;英格兰;Everton;英超;英超;manual;30;187;精准;还行;左脚;门将;;;门将;1.0;0.95;0.9;72.0;;;£6900万 - £8500万;69.0;85.0;77.0;77.2;81.0;68.2;73.0;61.8;66.0;66.8;69.2;4;13;14;16;16;12;14;11;15;17;11;17;14;15;8;15;14;12;16;8;15;16;12;11;15;10;15;14;13;15;10;16;16;65.5;0.92;1.0;1.037;62.6;50.1;75.1;强援池;0;PASS;未知;;门将
37084637;现役;Robin Roefs;荷兰;Sunderland;英超;英超;manual;22;193;精准;欠佳;左脚;门将;;;门将;1.0;0.95;0.9;65.5;;;£5800万 - £7200万;58.0;72.0;65.0;71.5;64.8;69.8;59.2;63.2;53.8;61.3;67.2;4;7;15;15;12;13;17;7;14;14;8;13;10;12;12;9;15;13;14;13;15;9;12;12;12;13;13;15;12;14;14;11;13;33.2;0.92;1.0;1.05;32.0;25.6;38.4;主力池;0;PASS;未知;;门将
18026122;现役;Thibaut Courtois;比利时;Real Madrid;西甲;西甲;manual;32;200;精准;还行;左脚;门将;;;门将;1.0;0.95;0.9;78.5;;;£5000万 - £8000万;50.0;80.0;65.0;84.7;84.2;87.0;73.0;64.0;68.5;68.8;76.5;3;13;20;16;14;5;16;10;16;18;6;19;14;12;11;12;18;14;13;12;15;14;15;12;10;14;16;16;16;16;13;15;8;114.1;0.92;1.0;0.967;101.5;81.2;121.8;球星池;0;PASS;门将;;门将
43155241;现役;Guglielmo Vicario;意大利;Tottenham Hotspur;英超;英超;manual;28;194;欠佳;精准;右脚;门将;;;门将;1.0;0.95;0.9;69.2;;;£5000万 - £6200万;50.0;62.0;56.0;79.8;73.5;61.3;68.0;63.0;53.5;69.5;71.2;6;12;14;7;14;4;13;10;10;13;17;20;13;12;12;13;16;13;16;12;14;14;10;11;11;12;14;16;12;15;15;15;10;49.8;0.92;1.0;1.032;47.3;37.8;56.8;强援池;0;PASS;未知;;门将
29125334;现役;Dean Henderson;英格兰;Crystal Palace;英超;英超;manual;27;188;不错;精准;右脚;门将;;;门将;1.0;0.95;0.9;68.5;;;£4100万 - £6500万;41.0;65.0;53.0;73.2;73.5;63.3;67.2;68.8;58.8;65.8;69.2;2;11;13;14;14;15;13;11;12;14;19;16;11;16;11;14;14;12;16;12;14;12;14;11;8;13;15;15;13;14;13;14;15;46.3;0.92;1.0;1.034;44.0;35.2;52.8;强援池;0;PASS;未知;;门将
59138294;现役;Giorgi Mamardashvili;格鲁吉亚;Liverpool;英超;英超;manual;24;197;精准;欠佳;左脚;门将;;;门将;1.0;0.95;0.9;71.9;;;£4100万 - £6500万;41.0;65.0;53.0;76.0;73.3;81.0;70.0;62.8;63.8;67.5;67.5;3;12;17;16;16;8;15;12;15;14;11;17;15;14;11;12;18;11;14;10;13;11;12;15;11;14;14;14;13;14;13;14;11;64.9;0.92;1.0;0.996;59.5;47.6;71.4;强援池;0;PASS;未知;;门将
35017428;现役;Marc-André ter Stegen;德国;Girona;西甲;西甲;manual;26;187;强势;精准;左脚;门将;;;门将;1.0;0.95;0.9;67.6;;;£3900万 - £6200万;39.0;62.0;50.5;72.5;63.8;64.0;65.8;54.8;72.0;73.0;73.8;2;16;12;14;13;13;13;13;17;12;15;17;15;6;10;15;16;15;14;14;17;14;13;10;11;14;12;18;13;12;18;15;11;42.0;0.92;1.0;1.041;40.3;32.2;48.4;强援池;0;PASS;门将;;门将
